caldt,close,ret
6-Dec-19,"2,296.39",0.0078
5-Dec-19,"2,278.63",0.0014
4-Dec-19,"2,275.47",0.0055
3-Dec-19,"2,263.10",-0.0058
2-Dec-19,"2,276.40",-0.0069
29-Nov-19,"2,292.26",-0.0041
28-Nov-19,"2,301.79",-0.0004
27-Nov-19,"2,302.67",0.0034
26-Nov-19,"2,294.78",0.0018
25-Nov-19,"2,290.65",0.0074
22-Nov-19,"2,273.89",0.0016
21-Nov-19,"2,270.36",-0.002
20-Nov-19,"2,274.92",-0.0043
19-Nov-19,"2,284.85",-0.0004
18-Nov-19,"2,285.76",0.0013
15-Nov-19,"2,282.80",0.0077
14-Nov-19,"2,265.29",-0.0013
13-Nov-19,"2,268.33",-0.0007
12-Nov-19,"2,270.01",0.0016
11-Nov-19,"2,266.36",-0.0011
8-Nov-19,"2,268.83",0.0009
7-Nov-19,"2,266.69",0.0024
6-Nov-19,"2,261.37",0.0009
5-Nov-19,"2,259.26",-0.001
4-Nov-19,"2,261.45",0.0042
1-Nov-19,"2,252.07",0.0083
31-Oct-19,"2,233.53",-0.0017
30-Oct-19,"2,237.31",0.0022
29-Oct-19,"2,232.45",0.0005
28-Oct-19,"2,231.40",0.0039
25-Oct-19,"2,222.75",0.0032
24-Oct-19,"2,215.64",0.0033
23-Oct-19,"2,208.28",0.0018
22-Oct-19,"2,204.29",-0.0023
21-Oct-19,"2,209.34",0.0064
18-Oct-19,"2,195.28",-0.003
17-Oct-19,"2,201.92",0.003
16-Oct-19,"2,195.35",-0.0006
15-Oct-19,"2,196.61",0.0098
14-Oct-19,"2,175.28",-0.0019
11-Oct-19,"2,179.33",0.0136
10-Oct-19,"2,150.16",0.0059
9-Oct-19,"2,137.62",0.0063
8-Oct-19,"2,124.15",-0.0129
7-Oct-19,"2,151.82",-0.0009
4-Oct-19,"2,153.83",0.0105
3-Oct-19,"2,131.36",0.0047
2-Oct-19,"2,121.47",-0.0171
1-Oct-19,"2,158.47",-0.0099
30-Sep-19,"2,180.02",0.0021
27-Sep-19,"2,175.54",-0.0036
26-Sep-19,"2,183.46",-0.0005
25-Sep-19,"2,184.56",0.0011
24-Sep-19,"2,182.07",-0.0053
23-Sep-19,"2,193.74",-0.0017
20-Sep-19,"2,197.55",-0.0032
19-Sep-19,"2,204.67",0.0017
18-Sep-19,"2,201.02",-0.0003
17-Sep-19,"2,201.77",0.0027
16-Sep-19,"2,195.88",-0.0045
13-Sep-19,"2,205.81",0.0018
12-Sep-19,"2,201.81",0.0034
11-Sep-19,"2,194.42",0.0069
10-Sep-19,"2,179.43",0.0005
9-Sep-19,"2,178.41",-0.0002
6-Sep-19,"2,178.90",0.0021
5-Sep-19,"2,174.27",0.0114
4-Sep-19,"2,149.80",0.0108
3-Sep-19,"2,126.92",-0.0045
2-Sep-19,"2,136.58",-0.0009
30-Aug-19,"2,138.52",0.0026
29-Aug-19,"2,133.08",0.01
28-Aug-19,"2,111.92",0.0034
27-Aug-19,"2,104.85",-0.0002
26-Aug-19,"2,105.22",0.0051
23-Aug-19,"2,094.63",-0.0174
22-Aug-19,"2,131.68",-0.0018
21-Aug-19,"2,135.52",0.0075
20-Aug-19,"2,119.57",-0.0057
19-Aug-19,"2,131.81",0.0111
16-Aug-19,"2,108.50",0.0123
15-Aug-19,"2,082.84",-0.0016
14-Aug-19,"2,086.26",-0.0226
13-Aug-19,"2,134.54",0.0079
12-Aug-19,"2,117.73",-0.0082
9-Aug-19,"2,135.34",-0.0054
8-Aug-19,"2,146.91",0.0155
7-Aug-19,"2,114.05",0.0023
6-Aug-19,"2,109.20",0.0057
5-Aug-19,"2,097.32",-0.0245
2-Aug-19,"2,149.99",-0.0107
1-Aug-19,"2,173.18",-0.0066
31-Jul-19,"2,187.56",-0.0072
30-Jul-19,"2,203.40",-0.0041
29-Jul-19,"2,212.50",-0.0014
26-Jul-19,"2,215.71",0.004
25-Jul-19,"2,206.92",-0.0049
24-Jul-19,"2,217.75",0.0037
23-Jul-19,"2,209.59",0.0054
22-Jul-19,"2,197.67",0.0014
19-Jul-19,"2,194.61",-0.0017
18-Jul-19,"2,198.40",0.0002
17-Jul-19,"2,197.94",-0.0046
16-Jul-19,"2,208.09",-0.0028
15-Jul-19,"2,214.34",0.0008
12-Jul-19,"2,212.65",0.0033
11-Jul-19,"2,205.35",0.0019
10-Jul-19,"2,201.14",0.0034
9-Jul-19,"2,193.65",-0.0004
8-Jul-19,"2,194.62",-0.005
5-Jul-19,"2,205.57",-0.0043
4-Jul-19,"2,215.17",0.0008
3-Jul-19,"2,213.35",0.0067
2-Jul-19,"2,198.55",0.0029
1-Jul-19,"2,192.24",0.0064
28-Jun-19,"2,178.35",0.0055
27-Jun-19,"2,166.48",0.0037
26-Jun-19,"2,158.41",-0.0025
25-Jun-19,"2,163.73",-0.0066
24-Jun-19,"2,178.17",0
21-Jun-19,"2,178.16",-0.0024
20-Jun-19,"2,183.36",0.0101
19-Jun-19,"2,161.60",0.005
18-Jun-19,"2,150.91",0.0094
17-Jun-19,"2,130.86",0
14-Jun-19,"2,130.95",-0.0028
13-Jun-19,"2,136.96",0.0012
12-Jun-19,"2,134.42",-0.0025
11-Jun-19,"2,139.74",0.002
10-Jun-19,"2,135.51",0.0041
7-Jun-19,"2,126.88",0.0108
6-Jun-19,"2,104.18",0.004
5-Jun-19,"2,095.83",0.0087
4-Jun-19,"2,077.66",0.0159
3-Jun-19,"2,045.06",-0.0006
31-May-19,"2,046.25",-0.0098
30-May-19,"2,066.48",0.0008
29-May-19,"2,064.80",-0.0095
28-May-19,"2,084.57",-0.0057
27-May-19,"2,096.43",0.0007
24-May-19,"2,095.03",0.0036
23-May-19,"2,087.46",-0.0115
22-May-19,"2,111.78",-0.0028
21-May-19,"2,117.66",0.0062
20-May-19,"2,104.64",-0.0056
17-May-19,"2,116.50",-0.0045
16-May-19,"2,126.06",0.0074
15-May-19,"2,110.40",0.0055
14-May-19,"2,098.76",0.0059
13-May-19,"2,086.46",-0.0187
10-May-19,"2,126.32",0.0033
9-May-19,"2,119.31",-0.0059
8-May-19,"2,131.90",-0.0017
7-May-19,"2,135.49",-0.0144
6-May-19,"2,166.66",-0.0051
3-May-19,"2,177.77",0.0077
2-May-19,"2,161.11",-0.0041
1-May-19,"2,170.03",-0.004
30-Apr-19,"2,178.67",0.0014
29-Apr-19,"2,175.59",0.0008
26-Apr-19,"2,173.82",0.0039
25-Apr-19,"2,165.36",-0.0016
24-Apr-19,"2,168.81",-0.0026
23-Apr-19,"2,174.39",0.0059
22-Apr-19,"2,161.58",0.0006
19-Apr-19,"2,160.36",0.0001
18-Apr-19,"2,160.21",-0.0003
17-Apr-19,"2,160.94",-0.001
16-Apr-19,"2,163.08",0.0009
15-Apr-19,"2,161.14",0.0008
12-Apr-19,"2,159.39",0.0055
